icao24,registration,manufacturer,model,typecode,serialnumber,icaoaircrafttype,operatorcallsign,operatoricao,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines
888139,VN-A894,AIRBUS,A350 941,A359,150,L2J,VIET NAM AIRLINES,HVN,,,,,,,,
461f53,OH-LWL,AIRBUS,Airbus A350-941 ,A359,134,L2J,FINNAIR,FIN,,,,,,,,
06a0fa,A7-ALF,AIRBUS,A350 941,A359,11,L2J,QATARI,QTR,,,,,,,,
76cd0e,9v-shn,AIRBUS,A350-900,A359,,L2J,SINGAPORE,SIA,,,,,,,,JET
06002f,3B-NBP,AIRBUS,A350 941,A359,145,L2J,AIRMAURITIUS,MAU,,,,,,,,
76cd09,9V-SHI,AIRBUS,A350-941,A359,322,L2J,SINGAPORE,SIA,,,,,2019-06-01,,,
60040,3B-NCE,AIRBUS,A350-941,A359,,L2J,AIRMAURITIUS,MAU,,,,,,,,
06a0e2,A7-AMC,AIRBUS,Airbus A350 941,A359,48,L2J,QATARI,QTR,F-WZGU,2017-04-24,,,2016-01-01,,,
39cf08,F-HTYI,AIRBUS,A350-941,A359,491,L2J,AIRFRANS,AFR,,,,,2021-04-01,2021-04-25,,
885106,HS-THF,AIRBUS,A350 941,A359,123,L2J,THAI,THA,,,,,,,,
780abd,B-LRR,AIRBUS,Airbus A350 941,A359,119,L2J,CATHAY,CPA,,,,,,,,
780a9b,B-LRA,AIRBUS,A350 941,A359,29,L2J,CATHAY,CPA,,,,,,,,
76cd12,9v-shl,AIRBUS,A350-900,A359,,L2J,SINGAPORE,SIA,,,,,,,,JET
407600000000,G-XWBA,AIRBUS,A350-1041,A35K,,L2J,SPEEDBIRD,BAW,,2019-07-25,,,,,,
461f4a,OH-LWC,AIRBUS,A350 941,A359,20,L2J,FINNAIR,FIN,,,,,,,,
06a106,A7-ALR,AIRBUS,A350 941,A359,78,L2J,QATARI,QTR,,,,,,,,
780abb,B-LRP,AIRBUS,A350 941,A359,101,L2J,CATHAY,CPA,,,,,,,,
76cd0b,9V-SHK,AIRBUS,A359,A359,,L2J,SINGAPORE,SIA,,,,,,,,JET
76cd11,9V-SHQ,AIRBUS,A359,A359,,L2J,SINGAPORE,SIA,,,,,,,,JET
3c670e,D-AIXN,AIRBUS,A350-941,A359,292,L2J,LUFTHANSA,DLH,,,,,,,,
39b493,F-HNET,AIRBUS,A350 941,A359,91,L2J,FRENCH WEST,FWI,,,,,,,,
39cf0a,F-HTYK,AIRBUS,A350-941,A359,502,L2J,AIRFRANS,AFR,,,,,2021-06-01,2021-06-18,,
06a122,A7-ANF,AIRBUS,A350-1041,A35K,161,L2J,QATARI,QTR,,2018-12-18,,,2018-11-01,2018-11-13,,2 x Rolls-Royce Trent XWB-97
789218,B-LXF,AIRBUS,,A35K,,L2J,CATHAY,CPA,,,,,,,,
39cf05,F-HTYF,AIRBUS,Airbus 350-941,A359,422,L2J,AIRFRANS,AFR,,,,,,,,RR TRENT XWB
60030,3B-NBQ,AIRBUS,A350 941,A359,157,L2J,AIRMAURITIUS,MAU,,,,,,,,
39cf03,F-HTYD,AIRBUS,Airbus A350-941 ,A359,381,L2J,AIRFRANS,AFR,,,,,,,,RR TRENT XWB
40133,ET-AUB,AIRBUS,A350 941,A359,120,L2J,ETHIOPIAN,ETH,,,,,,,,
789201,B-LRT,AIRBUS,Airbus A350 941,A359,137,L2J,CATHAY,CPA,,,,,,,,
a63dff,N501DN,AIRBUS,A350-941,A359,115,L2J,DELTA,DAL,,,2023-07-31,,2017-01-01,,,ROLLS-ROYC TRENT XWB-84
06a0e3,A7-AMD,AIRBUS,A350 941,A359,45,L2J,QATARI,QTR,,,,,,,,
781ac5,B-321N,AIRBUS,A350-941,A359,458,L2J,AIR CHINA,CCA,,,,,,2020-11-13,,RR Trent XWB
06a10e,A7-ALZ,AIRBUS,A350-941,A359,12,L2J,QATARI,QTR,,2016-03-07,,,2016-01-01,,,
885107,HS-THG,AIRBUS,A350 941,A359,130,L2J,THAI,THA,,,,,,,,
780aa5,B-LRE,AIRBUS,A350 941,A359,39,L2J,CATHAY,CPA,,,,,,,,
06a0fc,A7-ALH,AIRBUS,A350 941,A359,12,L2J,QATARI,QTR,,,,,,,,
a64cdb,N505DN,AIRBUS,A350-941,A359,164,L2J,DELTA,DAL,,,2023-12-31,,2017-01-01,,,ROLLS-ROYC TRENT XWB-84
06a0e1,A7-AMB,AIRBUS,A350 941,A359,64,L2J,QATARI,QTR,,,,,,,,
76cdad,9V-SMM,AIRBUS,A350 941,A359,99,L2J,SINGAPORE,SIA,,,,,,,,
76cda8,9V-SMH,AIRBUS,A350 941,A359,68,L2J,SINGAPORE,SIA,,,,,,,,
