A/C,Type,MSN,Operator,Grounded,Export
D-AIXH,A350-941,184,Lufthansa,False,28/04/2022 - 08:20
D-AIXK,A350-941,212,Lufthansa,False,28/04/2022 - 08:20
SE-RSB,A350-941,378,Scandinavian,False,28/04/2022 - 08:20
SE-RSA,A350-941,358,Scandinavian,True,28/04/2022 - 08:20
F-WWCF,A350-941,2,Airbus Industries,True,28/04/2022 - 08:20
TC-LGA,A350-941,403,Turkish Airlines,False,28/04/2022 - 08:20
N502DN,A350-941,135,Delta,False,28/04/2022 - 08:20
N512DN,A350-941,267,Delta,False,28/04/2022 - 08:20
B-LRB,A350-941,32,Cathay Pacific,False,28/04/2022 - 08:20
EC-NIS,A350-941,406,Iberia,True,28/04/2022 - 08:20
9V-SHA,A350-941,254,Singapore Airlines,False,28/04/2022 - 08:20
9V-SHE,A350-941,294,Singapore Airlines,False,28/04/2022 - 08:20
9V-SHU,A350-941,469,Singapore Airlines,False,28/04/2022 - 08:20
N504DN,A350-941,160,Delta,False,28/04/2022 - 08:20
9V-SMQ,A350-941,133,Singapore Airlines,False,28/04/2022 - 08:20
9V-SMT,A350-941,170,Singapore Airlines,False,28/04/2022 - 08:20
9V-SMR,A350-941,140,Singapore Airlines,False,28/04/2022 - 08:20
9V-SMS,A350-941,158,Singapore Airlines,False,28/04/2022 - 08:20
B-18903,A350-941,66,China Airlines,False,28/04/2022 - 08:20
HL8078,A350-941,94,Asiana Airlines,False,28/04/2022 - 08:20
F-HTYD,A350-941,381,Air France,False,28/04/2022 - 08:20
F-HTYE,A350-941,407,Air France,True,28/04/2022 - 08:20
F-HTYF,A350-941,422,Air France,False,28/04/2022 - 08:20
F-HREY,A350-941,325,French Bee,False,28/04/2022 - 08:20
N506DN,A350-941,175,Delta,False,28/04/2022 - 08:20
A7-ALZ,A350-941,12,Qatar,False,28/04/2022 - 08:20
A7-ANK,A350-1041,332,Qatar,False,28/04/2022 - 08:20
A7-ALU,A350-941,100,Qatar,True,28/04/2022 - 08:20
A7-ALR,A350-941,78,Qatar,True,28/04/2022 - 08:20
A7-ALS,A350-941,83,Qatar,False,28/04/2022 - 08:20
A7-AMJ,A350-941,237,Qatar,False,28/04/2022 - 08:20
A7-AML,A350-941,257,Qatar,False,28/04/2022 - 08:20
